name,ttm,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
TotalRevenue,"5,891,000,000","1,588,000,000","1,541,000,000","1,483,000,000","1,279,000,000","1,076,000,000","851,000,000","663,000,000","438,000,000","424,000,000","399,000,000","250,000,000","993,000,000","1,275,000,000","1,215,000,000","1,289,000,000","1,241,000,000","1,138,000,000","1,074,000,000","1,133,000,000","1,109,000,000","1,184,000,000","1,119,000,000","1,195,000,000","1,187,000,000","1,087,000,000","1,088,000,000","1,165,000,000","1,089,000,000","1,109,000,000","1,053,000,000","1,112,000,000","1,054,000,000","1,079,000,000","1,104,000,000","1,158,000,000","1,074,000,000","1,091,000,000","1,026,000,000","1,092,000,000","975,000,000","1,000,000,000","977,000,000","1,014,000,000","958,000,000","990,000,000","897,000,000","936,000,000","875,000,000","918,000,000","879,000,000","889,000,000","841,000,000","889,000,000","806,000,000","847,000,000","789,000,000","886,000,000","942,000,000"
	OperatingRevenue,"3,029,000,000","790,000,000","777,000,000","791,000,000","671,000,000","544,000,000","376,000,000","284,000,000","167,000,000","150,000,000","132,000,000","39,000,000","431,000,000","619,000,000","578,000,000","648,000,000","611,000,000","613,000,000","583,000,000","627,000,000","647,000,000","656,000,000","640,000,000","707,000,000","694,000,000","630,000,000","629,000,000","674,000,000","623,000,000","637,000,000","603,000,000","652,000,000","614,000,000","652,000,000","649,000,000","695,000,000","637,000,000","651,000,000","598,000,000","668,000,000","567,000,000","-621,000,000","977,000,000","1,014,000,000","958,000,000","990,000,000","897,000,000","936,000,000","875,000,000","918,000,000","879,000,000","889,000,000","841,000,000","889,000,000","806,000,000","847,000,000","789,000,000","886,000,000","942,000,000"
CostOfRevenue,"4,603,000,000","1,252,000,000","1,192,000,000","1,132,000,000","1,027,000,000","902,000,000","704,000,000","573,000,000","424,000,000","454,000,000","418,000,000","334,000,000","861,000,000","1,033,000,000","1,007,000,000","1,030,000,000","1,007,000,000","910,000,000","849,000,000","864,000,000","852,000,000","931,000,000","881,000,000","909,000,000","917,000,000","861,000,000","858,000,000","902,000,000","852,000,000","873,000,000","833,000,000","849,000,000","822,000,000","850,000,000","864,000,000","880,000,000","839,000,000","858,000,000","815,000,000","824,000,000","786,000,000","793,000,000","774,000,000","775,000,000","772,000,000","791,000,000","711,000,000","738,000,000","717,000,000","746,000,000","731,000,000","706,000,000","681,000,000","735,000,000","677,000,000","689,000,000","650,000,000","713,000,000","725,000,000"
GrossProfit,"1,288,000,000","336,000,000","349,000,000","351,000,000","252,000,000","174,000,000","147,000,000","90,000,000","14,000,000","-30,000,000","-19,000,000","-84,000,000","132,000,000","242,000,000","208,000,000","259,000,000","234,000,000","228,000,000","225,000,000","269,000,000","257,000,000","253,000,000","238,000,000","286,000,000","270,000,000","226,000,000","230,000,000","263,000,000","237,000,000","236,000,000","220,000,000","263,000,000","232,000,000","229,000,000","240,000,000","278,000,000","235,000,000","233,000,000","211,000,000","268,000,000","189,000,000","207,000,000","203,000,000","239,000,000","186,000,000","199,000,000","186,000,000","198,000,000","158,000,000","172,000,000","148,000,000","183,000,000","160,000,000","154,000,000","129,000,000","158,000,000","139,000,000","173,000,000","217,000,000"
OperatingExpense,"890,000,000","275,000,000","204,000,000","175,000,000","230,000,000","207,000,000","140,000,000","160,000,000","169,000,000","181,000,000","149,000,000","174,000,000","127,000,000","192,000,000","168,000,000","178,000,000","208,000,000","144,000,000","163,000,000","162,000,000","178,000,000","193,000,000","181,000,000","181,000,000","190,000,000","166,000,000","161,000,000","161,000,000","169,000,000","174,000,000","132,000,000","149,000,000","173,000,000","190,000,000","168,000,000","163,000,000","182,000,000","178,000,000","158,000,000","160,000,000","172,000,000","168,000,000","163,000,000","166,000,000","179,000,000","171,000,000","133,000,000","143,000,000","141,000,000","156,000,000","136,000,000","124,000,000","139,000,000","144,000,000","134,000,000","134,000,000","118,000,000","159,000,000","117,000,000"
	SellingGeneralAndAdministration,"464,000,000","169,000,000","108,000,000","76,000,000","111,000,000","116,000,000","69,000,000","86,000,000","95,000,000","104,000,000","69,000,000","101,000,000","47,000,000","111,000,000","83,000,000","95,000,000","128,000,000","60,000,000","82,000,000","83,000,000","95,000,000","101,000,000","89,000,000","90,000,000","99,000,000","78,000,000","74,000,000","75,000,000","88,000,000","87,000,000","54,000,000","73,000,000","94,000,000","105,000,000","77,000,000","80,000,000","87,000,000","87,000,000","77,000,000","75,000,000","84,000,000","78,000,000","75,000,000","77,000,000","93,000,000","84,000,000","58,000,000","71,000,000","70,000,000","81,000,000","68,000,000","58,000,000","69,000,000","73,000,000","66,000,000","69,000,000","53,000,000","97,000,000","55,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"426,000,000","106,000,000","96,000,000","105,000,000","119,000,000","91,000,000","71,000,000","74,000,000","74,000,000","77,000,000","80,000,000","73,000,000","80,000,000","81,000,000","85,000,000","83,000,000","80,000,000","84,000,000","81,000,000","79,000,000","83,000,000","92,000,000","92,000,000","91,000,000","91,000,000","88,000,000","87,000,000","86,000,000","81,000,000","87,000,000","78,000,000","76,000,000","79,000,000","85,000,000","91,000,000","83,000,000","95,000,000","91,000,000","81,000,000","85,000,000","88,000,000","90,000,000","88,000,000","89,000,000","86,000,000","87,000,000","75,000,000","72,000,000","71,000,000","75,000,000","68,000,000","66,000,000","70,000,000","71,000,000","68,000,000","65,000,000","65,000,000","62,000,000","62,000,000"
		DepreciationAndAmortizationInIncomeStatement,"426,000,000","106,000,000","96,000,000","105,000,000","119,000,000","91,000,000","71,000,000","74,000,000","74,000,000","77,000,000","80,000,000","73,000,000","80,000,000","81,000,000","85,000,000","83,000,000","80,000,000","84,000,000","81,000,000","79,000,000","83,000,000","92,000,000","92,000,000","91,000,000","91,000,000","88,000,000","87,000,000","86,000,000","81,000,000","87,000,000","78,000,000","76,000,000","79,000,000","85,000,000","91,000,000","83,000,000","95,000,000","91,000,000","81,000,000","85,000,000","88,000,000","90,000,000","88,000,000","89,000,000","86,000,000","87,000,000","75,000,000","72,000,000","71,000,000","75,000,000","68,000,000","66,000,000","70,000,000","71,000,000","68,000,000","65,000,000","65,000,000","62,000,000","62,000,000"
	ProvisionForDoubtfulAccounts,,,,"-6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"398,000,000","61,000,000","145,000,000","176,000,000","22,000,000","-33,000,000","7,000,000","-70,000,000","-155,000,000","-211,000,000","-168,000,000","-258,000,000","5,000,000","50,000,000","40,000,000","81,000,000","26,000,000","84,000,000","62,000,000","107,000,000","79,000,000","60,000,000","57,000,000","105,000,000","80,000,000","60,000,000","69,000,000","102,000,000","68,000,000","62,000,000","88,000,000","114,000,000","59,000,000","39,000,000","72,000,000","115,000,000","53,000,000","55,000,000","53,000,000","108,000,000","17,000,000","39,000,000","40,000,000","73,000,000","7,000,000","28,000,000","53,000,000","55,000,000","17,000,000","16,000,000","12,000,000","59,000,000","21,000,000","10,000,000","-5,000,000","24,000,000","21,000,000","14,000,000","100,000,000"
NetNonOperatingInterestIncomeExpense,"-106,000,000","-34,000,000","-24,000,000","-29,000,000","-34,000,000","-40,000,000","-40,000,000","-42,000,000","-41,000,000","-41,000,000","-35,000,000","-29,000,000","-17,000,000","-17,000,000","-19,000,000","-20,000,000","-19,000,000","-19,000,000","-19,000,000","-19,000,000","-19,000,000","-19,000,000","-18,000,000","-18,000,000","74,000,000","-5,000,000","-18,000,000","-18,000,000","-16,000,000","-17,000,000","-15,000,000","-15,000,000","-15,000,000","-17,000,000","-14,000,000","-15,000,000","-17,000,000","-17,000,000","-11,000,000","-11,000,000","-12,000,000","-11,000,000","-12,000,000","-17,000,000","-13,000,000","-15,000,000","-9,000,000","-8,000,000","-8,000,000","-14,000,000","-16,000,000","-12,000,000","-12,000,000","-14,000,000","-15,000,000","-11,000,000","-16,000,000","-24,000,000","-23,000,000"
	InterestIncomeNonOperating,"44,000,000","15,000,000","14,000,000","9,000,000","6,000,000","7,000,000","7,000,000","24,000,000","12,000,000","37,000,000","22,000,000","6,000,000","-48,000,000","21,000,000","6,000,000","6,000,000","6,000,000","9,000,000","7,000,000","7,000,000","3,000,000","10,000,000","2,000,000","2,000,000","95,000,000","14,000,000","2,000,000","2,000,000","1,000,000","10,000,000","2,000,000","2,000,000","2,000,000","6,000,000","3,000,000","3,000,000","2,000,000","12,000,000","4,000,000","5,000,000","5,000,000","6,000,000","6,000,000","6,000,000","5,000,000",,"6,000,000","6,000,000","5,000,000",,,,,,,,,,
	InterestExpenseNonOperating,"150,000,000","34,000,000","38,000,000","38,000,000","40,000,000","40,000,000","40,000,000","42,000,000","41,000,000","41,000,000","35,000,000","35,000,000","17,000,000","17,000,000","19,000,000","20,000,000","19,000,000","19,000,000","19,000,000","19,000,000","19,000,000","19,000,000","20,000,000","20,000,000","21,000,000","19,000,000","20,000,000","20,000,000","17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","18,000,000","19,000,000","17,000,000","15,000,000","16,000,000","17,000,000","17,000,000","18,000,000","17,000,000","18,000,000","15,000,000","15,000,000","14,000,000","13,000,000","14,000,000","16,000,000","12,000,000","12,000,000","14,000,000","15,000,000","11,000,000","16,000,000","24,000,000","23,000,000"
	TotalOtherFinanceCost,,,,,,,,,,,,"-1,000,000",,"0","-1,000,000",,"-17,000,000","-3,000,000","-2,000,000","-3,000,000","-3,000,000","-2,000,000","-2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"71,000,000","32,000,000","-58,000,000","165,000,000","-59,000,000","-29,000,000","291,000,000","118,000,000","78,000,000","-20,000,000","-17,000,000","-43,000,000","-126,000,000","380,000,000","384,000,000","44,000,000","76,000,000","-33,000,000","213,000,000","14,000,000","501,000,000","258,000,000","-8,000,000","45,000,000","-43,000,000","6,000,000","39,000,000","4,000,000","-2,000,000","-10,000,000","-28,000,000","-19,000,000","-10,000,000","239,000,000","5,000,000","21,000,000","44,000,000","19,000,000","52,000,000","70,000,000","-2,000,000","-24,000,000","-8,000,000","1,000,000","20,000,000","11,000,000","-36,000,000","-21,000,000","7,000,000","-3,000,000","50,000,000","-28,000,000","15,000,000","-6,000,000","28,000,000","-86,000,000","20,000,000","-161,000,000","16,000,000"
	GainOnSaleOfSecurity,"121,000,000","27,000,000","-47,000,000","168,000,000","-41,000,000","10,000,000","306,000,000","129,000,000","12,000,000","-7,000,000","22,000,000","87,000,000","-40,000,000","370,000,000","373,000,000","11,000,000","31,000,000","-27,000,000","249,000,000","7,000,000","532,000,000","27,000,000","12,000,000","44,000,000","-25,000,000","-10,000,000","11,000,000","-11,000,000","1,000,000","10,000,000","-21,000,000","2,000,000","9,000,000","252,000,000","-1,000,000","8,000,000","65,000,000","12,000,000","38,000,000","102,000,000","8,000,000","3,000,000","7,000,000","-4,000,000","14,000,000",,"-27,000,000","-7,000,000","6,000,000",,,"-8,000,000","7,000,000","7,000,000",,"13,000,000","-5,000,000","-17,000,000","-12,000,000"
	EarningsFromEquityInterest,"5,000,000","11,000,000","2,000,000","1,000,000","-9,000,000","20,000,000","-12,000,000","-34,000,000","54,000,000","-25,000,000","-20,000,000","-23,000,000","-2,000,000","-8,000,000","-5,000,000","6,000,000","-3,000,000","25,000,000","-6,000,000","2,000,000","-13,000,000","221,000,000","1,000,000","1,000,000","-3,000,000","22,000,000","25,000,000","19,000,000","2,000,000","-18,000,000","-17,000,000","-23,000,000","-6,000,000","3,000,000","6,000,000","23,000,000","-7,000,000","-11,000,000","16,000,000","-5,000,000","-1,000,000","-16,000,000","-5,000,000","0","-1,000,000","-2,000,000","1,000,000","2,000,000","3,000,000","-17,000,000","-4,000,000","-11,000,000","-8,000,000","-2,000,000","2,000,000","-11,000,000","-2,000,000","-16,000,000","18,000,000"
	SpecialIncomeCharges,"-61,000,000","-19,000,000","-19,000,000","-11,000,000","1,000,000","-6,000,000","0","-2,000,000","0","-10,000,000","0","-90,000,000","-3,000,000","-5,000,000","-9,000,000","-1,000,000","-3,000,000","-4,000,000","-21,000,000","1,000,000","529,000,000","17,000,000","-9,000,000","-3,000,000","-16,000,000","-44,000,000","16,000,000","12,000,000","13,000,000","16,000,000","6,000,000","3,000,000","2,000,000","-10,000,000","-1,000,000","-14,000,000","2,000,000","-11,000,000","-3,000,000","-29,000,000","-8,000,000","-8,000,000","-10,000,000","5,000,000",,"13,000,000","-1,000,000","-3,000,000",,"-7,000,000","54,000,000","-9,000,000","16,000,000","-11,000,000","26,000,000","-88,000,000","27,000,000","-128,000,000","65,000,000"
		RestructuringAndMergernAcquisition,"45,000,000","18,000,000","26,000,000",,,"27,000,000","22,000,000","0",,"3,000,000","22,000,000","47,000,000","0","0","-2,000,000","-2,000,000","-25,000,000",,,,,,,,,,,,,"0","0","0",,"1,000,000","3,000,000","9,000,000",,"7,000,000","3,000,000","0",,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"38,000,000","19,000,000","9,000,000","7,000,000","3,000,000","6,000,000","0","2,000,000","0","10,000,000","0","49,000,000","3,000,000","5,000,000","9,000,000","1,000,000","3,000,000","4,000,000","21,000,000",,,,,,,,,,,"0","5,000,000","0",,"10,000,000","0","7,000,000","0","11,000,000","0","3,000,000","8,000,000","0","0","0",,"4,000,000","1,000,000","1,000,000",,"30,000,000","11,000,000","3,000,000",,"7,000,000","0","5,000,000",,"86,000,000","0"
		WriteOff,"-16,000,000","1,000,000","-12,000,000",,,"10,000,000","2,000,000","2,000,000","2,000,000","3,000,000","8,000,000",,,"0","0","0",,"0","0","22,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"-6,000,000","-2,000,000","-4,000,000","4,000,000","-4,000,000","-4,000,000","-4,000,000","-5,000,000","-4,000,000","-5,000,000","-6,000,000","-6,000,000","-6,000,000","-6,000,000","-7,000,000","-6,000,000","-6,000,000","-10,000,000","2,000,000","-6,000,000","-7,000,000","-12,000,000","9,000,000","3,000,000","16,000,000","44,000,000","-16,000,000","-12,000,000","-13,000,000","-16,000,000","-11,000,000","-3,000,000","-2,000,000","-1,000,000","-2,000,000","-2,000,000","-2,000,000","0",,"55,000,000",,,"10,000,000","-5,000,000",,"-17,000,000",,,,"3,000,000","-65,000,000","6,000,000",,"4,000,000","-26,000,000","83,000,000",,"42,000,000",
		GainOnSaleOfPPE,,,,,,,,,,,"0","0","8,000,000","349,000,000","373,000,000","0","1,000,000","3,000,000","239,000,000","1,000,000","529,000,000","17,000,000","0","34,000,000",,"-2,000,000",,"-21,000,000","0","0","0","1,000,000","8,000,000","246,000,000","0","0","61,000,000","0","0","29,000,000",,"0","0",,,"0",,"-2,000,000",,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"6,000,000","13,000,000","6,000,000","7,000,000","-10,000,000","-53,000,000","-3,000,000","25,000,000","12,000,000","22,000,000","-19,000,000","-17,000,000","-81,000,000","23,000,000","25,000,000","28,000,000","51,000,000","-27,000,000","-9,000,000","5,000,000","-18,000,000","10,000,000","-12,000,000","3,000,000","1,000,000","38,000,000","-13,000,000","-16,000,000","-18,000,000","-2,000,000","4,000,000","-1,000,000","-15,000,000","-6,000,000","1,000,000","4,000,000","-16,000,000","29,000,000","1,000,000","2,000,000","-1,000,000",,,"-1,000,000","7,000,000",,"-9,000,000","-13,000,000","-2,000,000",,,,,,,,,,
PretaxIncome,"363,000,000","59,000,000","63,000,000","312,000,000","-71,000,000","-102,000,000","258,000,000","6,000,000","-118,000,000","-272,000,000","-220,000,000","-330,000,000","-138,000,000","413,000,000","405,000,000","105,000,000","83,000,000","32,000,000","256,000,000","102,000,000","561,000,000","299,000,000","31,000,000","132,000,000","111,000,000","61,000,000","90,000,000","88,000,000","50,000,000","35,000,000","45,000,000","80,000,000","34,000,000","261,000,000","63,000,000","121,000,000","80,000,000","57,000,000","94,000,000","167,000,000","3,000,000","4,000,000","20,000,000","57,000,000","14,000,000","24,000,000","8,000,000","35,000,000","16,000,000","-1,000,000","46,000,000","19,000,000","24,000,000","-10,000,000","8,000,000","-73,000,000","25,000,000","-171,000,000","93,000,000"
TaxProvision,"-92,000,000","-235,000,000","35,000,000","106,000,000","2,000,000","-73,000,000","138,000,000","15,000,000","186,000,000","-69,000,000","-59,000,000","-94,000,000","-35,000,000","92,000,000","109,000,000","19,000,000","20,000,000","-12,000,000","19,000,000","25,000,000","150,000,000","223,000,000","14,000,000","45,000,000","41,000,000","20,000,000","28,000,000","21,000,000","16,000,000","-2,000,000","20,000,000","40,000,000","12,000,000","79,000,000","30,000,000","46,000,000","24,000,000","27,000,000","39,000,000","55,000,000","-5,000,000","-11,000,000","-3,000,000","18,000,000","4,000,000","-28,000,000","-5,000,000","-1,000,000","6,000,000","3,000,000","17,000,000","0","17,000,000","3,000,000","2,000,000","-25,000,000","12,000,000","-28,000,000","11,000,000"
